Number	Genename	Locus	Count	Xenbase_ID
gene99	megf6.L	chr7L	108696626	XB-GENE-17341452
gene100	dhx16.S	chr8S	108700244	XB-GENE-6486356
gene101	fzd3.S	chr5S	108718300	XB-GENE-17343788
gene102	zbtb24.L	chr8L	108698407	XB-GENE-6488052
gene103	atp2b4.S	chr4S	108715812	XB-GENE-17340777
gene104	llgl1.S	chr9_10S	431949	XB-GENE-868464
gene105	tmprss13.L	chr7L	108696463	XB-GENE-17336927
gene106	rpa3.L	chr6L	495401	XB-GENE-991992
gene107	LOC108699574	chr8L	108699574	
gene108	pcnp.L	chr2L	380362	XB-GENE-12563959
gene109	crtc2.L	chr8L	108699627	
gene110	slitrk6.L	chr2L	108708490	XB-GENE-17346741
gene111	LOC108710091	chr2S	108710091	
gene112	LOC108712436	chr3S	108712436	
gene113	sssca1.S	chr4S	379204	XB-GENE-6256371
gene114	rbx1.S	chr4S	108715730	XB-GENE-17332088
gene115	ell3.S	chr3S	108712872	XB-GENE-17340273
gene116	edrf1.S	chr7S	432052	XB-GENE-5867827
gene117	timm17b.S	chr8S	735201	XB-GENE-6254092
gene118	foxd2.L	chr4L	108714300	XB-GENE-17331337
gene119	mad2l1bp-like.L	chr5L	108716535	XB-GENE-22068689
gene120	paf1.L	chr8L	446278	XB-GENE-5797702
gene121	LOC495248	chr2L	495248	
gene122	atp6v0c.L	chr9_10L	398647	XB-GENE-981796
gene123	bcl9l.S	Scaffold80	108705232	XB-GENE-6488793
gene124	ifrd2.S	chr4S	100037144	XB-GENE-17343770
gene125	ldlrad4.L	chr6L	108719180	XB-GENE-17334239
gene126	park7.L	chr7L	399179	XB-GENE-1005323
gene127	cdh6.L	chr6L	373627	XB-GENE-865103
gene128	dcp1a.S	Scaffold32	443617	XB-GENE-17344894
gene129	march10.L	chr9_10L	108700859	XB-GENE-6487948
gene130	tnnt1.L	chr7L	108696669	XB-GENE-17342813
gene131	gadd45gip1.S	Scaffold20	108703484	XB-GENE-992642
gene132	utp15.L	chr1L	379860	XB-GENE-866061
gene133	thrb.S	chr6S	397734	XB-GENE-6252616
gene134	hes5_X2.L	chr7L	108696616	
gene135	LOC108703804	Scaffold22	108703804	
gene136	ror2.L	chr1L	398399	XB-GENE-866069
gene137	unnamed.L	chr8L	108698622	XB-GENE-18005732
gene138	ccdc178.L	chr6L	108719236	XB-GENE-22068187
gene139	srpra.L	chr7L	108696415	XB-GENE-6485948
gene140	znf148.L	chr9_10L	108701250	XB-GENE-17343747
gene141	znf143.L	chr4L	444066	XB-GENE-17335710
gene142	p2ry6.S	chr2S	108710047	XB-GENE-17331425
gene143	mtmr7-like.L	chr1L	108698621	XB-GENE-6488043
gene144	bcl2l2.S	chr1S	397930	XB-GENE-6252167
gene145	rnf139.L	chr6L	735006	XB-GENE-17335630
gene146	otos.S	chr5S	494788	XB-GENE-971583
gene147	c18orf32.L	chr1L	108718678	XB-GENE-17344646
gene148	LOC108712161	chr1L	108712161	
gene149	sp6.L	chr9_10L	108700796	XB-GENE-17333365
gene150	cdc23.S	chr3S	380068	XB-GENE-17341490
gene151	chst8.L	chr4L	108714112	XB-GENE-6487999
gene152	LOC108697036	chr7L	108697036	
gene153	trim59.S	chr5S	108718106	XB-GENE-6489201
gene154	ppp1r3c.1.S	chr7S	446643	XB-GENE-17331304
gene155	des.2.L	chr5L	100126634	XB-GENE-17338516
gene156	fbxo28.S	chr5S	100380991	XB-GENE-993741
gene157	adamtsl5.L	chr3L	108711437	XB-GENE-6489045
gene158	srsf10.L	Scaffold110	108705444	XB-GENE-17335851
gene159	egr2.L	chr7L	378520	XB-GENE-866474
gene160	fzd2.S	chr9_10S	399141	XB-GENE-865666
gene161	srrm2.S	chr9_10S	445830	XB-GENE-17333669
gene162	unc5d.S	chr3S	108712297	XB-GENE-17339048
gene163	drgx.L	chr7L	108696344	XB-GENE-17343244
gene164	kdm1a.S	chr2S	100127344	XB-GENE-5816963
gene165	hla-drb1.L	chr8L	373671	XB-GENE-945976
gene166	sik1.S	chr2S	108709301	XB-GENE-17333724
gene167	ssr4.L	chr8L	397945	XB-GENE-968235
gene168	kiaa1324.L	chr2L	108708124	XB-GENE-17343914
gene169	naa15.S	chr1S	779106	XB-GENE-960106
gene170	mmp20.L	chr2L	100049153	XB-GENE-866450
gene171	ccndbp1.S	chr9_10S	495493	XB-GENE-922606
gene172	ina.L	Scaffold61	379642	XB-GENE-17330258
gene173	setx.L	chr8L	108698224	XB-GENE-6487478
gene174	anapc7.S	chr1S	447726	XB-GENE-17341085
gene175	LOC108699202	chr8L	108699202	
gene176	mknk1.S	chr4S	387327	XB-GENE-979975
gene177	myh13.S	chr8S	108700301	XB-GENE-11536245
gene178	mttp.1.S	chr1S	108706738	XB-GENE-17342984
gene179	fam104a.S	chr9_10S	108702695	XB-GENE-22068407
gene180	stxbp5l.S	chr2S	108709287	XB-GENE-17330989
gene181	cep135.L	chr1L	100381167	XB-GENE-6078220
gene182	rgs7bp.S	Scaffold53	444076	XB-GENE-1001521
gene183	rnf169.L	chr2L	108707636	XB-GENE-17338743
gene184	eef1b2.L	chr9_10L	399326	XB-GENE-966960
gene185	edc3.S	chr3S	495065	XB-GENE-5890837
gene186	fopnl.L	chr9_10L	735118	XB-GENE-6254288
gene187	fbxo15.S	chr6S	108695225	XB-GENE-17331238
gene188	akap17a.L	chr2L	108707979	XB-GENE-17334001
gene189	rwdd1.L	chr5L	447366	XB-GENE-1006390
gene190	cops3.S	chr9_10S	108703235	XB-GENE-17331673
gene191	plcg1.L	chr9_10L	398359	XB-GENE-982499
gene192	ubap1l.L	chr3L	108710611	XB-GENE-17343664
gene193	lin7c.L	chr4L	379823	XB-GENE-5827101
gene194	atp6v1g2.L	chr8L	108698562	XB-GENE-6488942
gene195	MGC75714.S	chr9_10S	108703273	
gene196	LOC108699291	chr8L	108699291	
gene197	tll1-like.1.L	Scaffold62	108704955	
gene198	dnaja1.L	chr1L	380057	XB-GENE-976942
gene199	l3mbtl1.S	chr9_10S	108702753	XB-GENE-17336146
gene200	krt18	chr9_10L	734797	XB-GENE-5820474
gene201	ccdc3-like.2.S	chr4S	108715902	XB-GENE-18005642
gene202	mllt3.L	chr1L	108713831	XB-GENE-17334623
gene203	fabp4.L	chr6L	734299	XB-GENE-6251653
gene204	ibsp.L	chr1L	100192353	XB-GENE-17345492
gene205	mfsd4a.S	chr2S	108709474	XB-GENE-17344334
gene206	ltbp3.L	chr4L	108713963	XB-GENE-17339640
gene207	ptrh2.L	chr2L	108708282	XB-GENE-6486458
gene208	loc100498039.L	chr5L	444548	XB-GENE-5950280
gene209	ets2.S	chr2S	394325	XB-GENE-6084229
gene210	awat1.S	chr5S	100127341	XB-GENE-17340990
gene211	LOC108707697	chr2L	108707697	
gene212	rb1cc1.L	chr6L	733167	XB-GENE-984586
gene213	uso1.S	chr1S	446301	XB-GENE-17333775
gene214	vps16.L	chr2L	108708790	XB-GENE-17330898
gene215	fam43a.L	chr5L	779147	XB-GENE-5860905
gene216	LOC108696717	chr7L	108696717	
gene217	LOC108707679	chr2L	108707679	
gene218	sptbn1.L	chr5L	108716412	XB-GENE-17346827
gene219	kcnj13.L	chr5L	108717106	XB-GENE-17339070
gene220	igf1.S	chr3S	108712492	XB-GENE-17330790
gene221	elac1.L	chr1L	108718616	XB-GENE-6489137
gene222	twf2.L	chr4L	379995	XB-GENE-5878672
gene223	LOC108700396	chr8S	108700396	
gene224	cops2.L	chr3L	432342	XB-GENE-954201
gene225	enah.S	chr5S	446221	XB-GENE-17335722
gene226	naa10.S	chr8S	380183	XB-GENE-966363
gene227	eaf1.S	chr6S	108719981	XB-GENE-17343033
gene228	tec.L	chr1L	734996	XB-GENE-6076368
gene229	LOC108702210	chr9_10S	108702210	
gene230	synj1.S	chr2S	100380968	XB-GENE-956333
gene231	LOC108697969	chr7S	108697969	
gene232	c16orf58.L	chr9_10L	108701714	XB-GENE-6487624
gene233	atp5o.L	chr2L	414601	XB-GENE-17338570
gene234	chdh.L	Scaffold24	108704026	XB-GENE-6487350
gene235	klf10.S	chr6S	734390	XB-GENE-866571
gene236	foxm1.S	chr3S	496385	XB-GENE-854084
gene237	rpl23a.L	chr2S	447121	XB-GENE-5891407
gene238	c12orf66.L	chr3L	432102	XB-GENE-959001
gene239	phf12.S	chr2S	379902	XB-GENE-968354
gene240	vwc2l.2.L	chr4L	108714281	XB-GENE-6485904
gene241	actr5.S	chr9_10S	443572	XB-GENE-866017
gene242	ube3a.S	chr2S	380385	XB-GENE-948562
gene243	sms.L	chr2L	108708014	XB-GENE-6488546
gene244	vps37d.S	chr2S	108708879	
gene245	prc1.2.L	chr1L	446268	XB-GENE-1020948
gene246	hebp2.L	chr5L	108716631	XB-GENE-17336522
gene247	ero1b.L	chr5L	108716133	XB-GENE-17339676
gene248	cplx4.L	chr1L	108718428	XB-GENE-17343791
gene249	taok3.S	chr1S	108707181	XB-GENE-17331862
gene250	sgsm1.L	chr1L	108715673	
gene251	mettl14.L	chr1L	414467	XB-GENE-5813628
gene252	tcp1.S	chr5S	394309	XB-GENE-939846
gene253	c2orf49.S	chr2S	108709712	
gene254	LOC108703547	Scaffold20	108703547	
gene255	ikbkb.L	chr3L	432200	XB-GENE-949882
gene256	tmem18.S	chr5S	108718225	XB-GENE-17334653
gene257	cdx4.S	chr8S	108700082	XB-GENE-17344090
gene258	rasgrf1.S	chr3S	494866	XB-GENE-866278
gene259	pcid2.L	chr2L	108708453	XB-GENE-17335101
gene260	kctd4.L	chr2L	108708522	XB-GENE-17333398
gene261	txnip.L	chr8L	446457	XB-GENE-968446
gene262	fdps.L	chr8L	735190	XB-GENE-6254261
gene263	egfl8.S	chr8S	108700225	XB-GENE-17339290
gene264	aptx.S	chr1S	108704639	
gene265	LOC108715411	chr4S	108715411	
gene266	lrrc9.L	chr8L	108698827	XB-GENE-6485727
gene267	LOC108696181	chr1L	108696181	
gene268	march4.S	chr9_10S	108702905	XB-GENE-17345010
gene269	irf5.L	chr3L	494760	XB-GENE-998629
gene270	psph.L	chr2L	446328	XB-GENE-953322
gene271	LOC108703857	Scaffold22	108703857	
gene272	LOC108713945	chr4L	108713945	
gene273	LOC108700896	chr9_10L	108700896	
gene274	fxyd6.L	chr7L	108696464	XB-GENE-17341985
gene275	rflb.L	chr1L	108714264	XB-GENE-18005763
gene276	ankdd1a.L	chr3L	108711487	XB-GENE-17335860
gene277	LOC108700482	chr8S	108700482	
gene278	slc39a14.S	chr3S	108712699	XB-GENE-17337515
gene279	irf10.L	chr9_10L	108700967	XB-GENE-17332943
gene280	ndrg2.S	chr1S	380081	XB-GENE-951915
gene281	tmem8b.L	chr1L	108719186	
gene282	rhobtb3.L	chr1L	108717365	XB-GENE-6488542
gene283	coch.L	chr8L	108699232	XB-GENE-17340589
gene284	afg3l1p.L	Scaffold97	443667	XB-GENE-6251993
gene285	abhd16a.L	chr8L	446829	XB-GENE-865335
gene286	oxnad1.S	chr6S	108719944	XB-GENE-17343545
gene287	snx10.S	chr6S	446440	XB-GENE-17343636
gene288	sh2b1.S	Scaffold29	108704216	XB-GENE-13579831
gene289	LOC108717276	chr5L	108717276	
gene290	epb41l5.S	chr9_10S	108702899	XB-GENE-17338010
gene291	erp44.L	chr6L	399233	XB-GENE-962194
gene292	abhd1.L	chr5L	446244	XB-GENE-17336758
gene293	siva1.L	chr8L	100037065	XB-GENE-5854269
gene294	slain1.S	chr2S	108709767	XB-GENE-6488627
gene295	LOC108718342	chr5S	108718342	
gene296	MGC83663	chr9_10L	444456	
gene297	ccr2.L	chr6L	494705	XB-GENE-6255338
gene298	spns2.S	chr2S	108709659	XB-GENE-6486461
gene299	ss18l1.L	chr9_10L	108700928	XB-GENE-17345041
gene300	zc3h18.S	Scaffold25	108704081	XB-GENE-17333772
gene301	LOC108706487	chr1S	108706487	
gene302	smad6.2.L	chr8L	108699473	XB-GENE-6488044
gene303	grm1.L	chr5L	108716694	
gene304	LOC108719025	chr6L	108719025	
gene305	myocd.L	chr9_10L	733169	XB-GENE-485265
gene306	rel.S	chr5S	398030	XB-GENE-17342653
gene307	mmp7.L	chr2L	379369	XB-GENE-977273
gene308	uncx.L	chr9_10L	108701562	XB-GENE-920204
gene309	gast.S	chr9_10S	108702169	
gene310	cdk17.S	chr3S	379846	XB-GENE-920560
gene311	c2orf44.S	chr5S	108718262	XB-GENE-17334351
gene312	prtg.S	chr3S	108712928	XB-GENE-17346630
gene313	LOC108712680	chr3S	108712680	
gene314	LOC108719525	chr1L	108719525	
gene315	snupn.L	chr3L	379149	XB-GENE-967849
gene316	trim71.S	chr6S	108719968	XB-GENE-17341909
gene317	vwa8.L	chr2L	398849	XB-GENE-6255157
gene318	opn5.2.L	chr5L	108717224	XB-GENE-6489203
gene319	shisa3.S	chr1S	379523	XB-GENE-939879
gene320	marc1-like.L	chr5L	108716467	
gene321	pias1.L	chr3L	373715	XB-GENE-865622
gene322	map3k15.L	chr2L	108708008	
gene323	ccne1.S	chr4S	397841	XB-GENE-972047
gene324	ahctf1.L	chr5L	397707	XB-GENE-866620
gene325	ube4b.L	chr7L	108696352	XB-GENE-6485835
gene326	il10ra.L	chr7L	108696462	XB-GENE-17332872
gene327	hnrnpdl.L	chr1L	379296	XB-GENE-866408
gene328	ramp3.L	chr6L	108718989	XB-GENE-17341431
gene329	bud31.L	chr9_10L	379740	XB-GENE-961910
gene330	prelid2.L	chr3L	414696	XB-GENE-943685
gene331	pdcd4.L	chr7L	380222	XB-GENE-959693
gene332	fgf10.S	chr1S	373569	XB-GENE-6253066
gene333	arid5b-like.1.S	chr7S	100381123	XB-GENE-1007582
gene334	tuba4b.L	chr9_10L	493577	XB-GENE-865914
gene335	mrpl54.S	chr1S	108706800	XB-GENE-6486336
gene336	dennd2a.S	chr3S	108712542	XB-GENE-6488614
gene337	mrpl1.L	chr1L	108711257	XB-GENE-17338864
gene338	slc16a1.S	chr2S	380088	XB-GENE-1014573
gene339	cul2.L	chr6L	379729	XB-GENE-960935
gene340	znf622.S	chr6S	379188	XB-GENE-982887
gene341	LOC108705579	Scaffold183	108705579	
gene342	LOC108699570	chr8L	108699570	
gene343	lnp1.L	chr2L	108707916	
gene344	klhl24.L	chr5L	108717110	XB-GENE-17331477
gene345	hpcal1.L	chr5L	446902	XB-GENE-6254872
gene346	rtn4rl1.S	chr2S	108708847	XB-GENE-6489164
gene347	rps23.L	chr1L	446737	XB-GENE-972760
gene348	cldn14.L	chr2L	444474	XB-GENE-995701
gene349	adrb3.L	chr3L	108711602	
gene350	MGC76064.S	chr1S	379553	
gene351	c4orf33.S	chr1S	108706688	XB-GENE-6489019
gene352	elf3.S	chr2S	108709471	XB-GENE-17332208
gene353	anxa3.L	chr1L	443953	XB-GENE-953005
gene354	rap2c.L	chr8L	734719	XB-GENE-489031
gene355	lpar5.L	chr7L	108696063	XB-GENE-6489142
gene356	arhgef17.L	chr2L	108707631	XB-GENE-17335474
gene357	nol12.S	chr4S	779312	XB-GENE-1188371
gene358	klhdc3.S	chr5S	108717633	
gene359	park7.S	chr7S	444724	XB-GENE-17335576
gene360	lhx5.L	chr1L	108715538	XB-GENE-17330956
gene361	sfxn5.S	chr1S	108706473	
gene362	p2ry2.S	chr2S	108710048	XB-GENE-17337673
gene363	sertad2.L	chr5L	108716585	XB-GENE-17337543
gene364	col8a2.L	chr2L	108707696	XB-GENE-17330241
gene365	manbal.L	Scaffold41	496156	XB-GENE-6489101
gene366	mlec.S	chr1S	432306	XB-GENE-5734882
gene367	rab3ip.S	chr3S	446663	XB-GENE-17338234
gene368	fut3.L	chr4L	399050	XB-GENE-5889338
gene369	chst1.S	chr4S	108715239	XB-GENE-17343990
gene370	parp11.S	chr3S	446651	XB-GENE-17339432
gene371	tdg.S	chr3S	399413	XB-GENE-1006134
gene372	arhgap20.S	chr2S	108709998	XB-GENE-6486876
gene373	proca1.L	chr2L	108707442	XB-GENE-6485634
gene374	fhdc1.L	chr1L	108699353	XB-GENE-17335820
gene375	cul1.S	chr6S	734414	XB-GENE-945771
gene376	nadk.S	chr7S	379705	XB-GENE-5938521
gene377	rerg.L	chr3L	444687	XB-GENE-6254590
gene378	lmod3.S	chr4S	108715918	
gene379	srek1.L	chr1L	108718083	
gene380	capn10.L	Scaffold1798	733407	XB-GENE-5770592
gene381	slco5a1.S	chr6S	108695334	XB-GENE-17334476
gene382	shd.L	chr1L	108712212	XB-GENE-6488479
gene383	zbtb26.S	chr8S	108700029	XB-GENE-17340315
gene384	afap1l2.S	chr7S	108697310	XB-GENE-17336908
gene385	slc13a5.L	chr2L	446616	XB-GENE-983516
gene386	cfb.S	chr8S	373577	XB-GENE-865266
gene387	tac1.L	chr6L	735077	XB-GENE-956667
gene388	ifit5.L	chr7L	108696187	XB-GENE-5842114
gene389	itga3.L	chr9_10L	373657	XB-GENE-866306
gene390	cox17.L	chr2L	495379	XB-GENE-6253956
gene391	sod1.L	chr2L	108707883	XB-GENE-6254670
gene392	gcnt2.L	chr6L	432275	XB-GENE-865984
gene393	il17re.S	chr4S	108715899	XB-GENE-17344197
gene394	alpk2.L	chr1L	108718431	XB-GENE-17334286
gene395	kcnq4.L	chr2L	108707508	
gene396	s1pr5.S	chr3S	108713337	XB-GENE-17338779
gene397	vps37a.L	chr1L	734384	XB-GENE-969339
gene398	LOC108699429	chr8L	108699429	
gene399	LOC108719425	chr6L	108719425	
gene400	zranb3-like.1.S	chr9_10S	108702253	
gene401	stk33.S	chr4S	108715306	XB-GENE-6488378
gene402	dnah11.L	chr6L	100462917	XB-GENE-6488653
gene403	lhfpl3.L	chr3L	447580	XB-GENE-6033793
gene404	ccdc64b.L	chr9_10L	108701728	XB-GENE-17335154
gene405	comt.2.S	chr1S	108707135	XB-GENE-6486206
gene406	pcgf1.S	chr1S	108706465	XB-GENE-17330330
gene407	ehbp1.L	chr5L	108716590	XB-GENE-17345656
gene408	irx4.L	chr6L	779102	XB-GENE-865388
gene409	LOC108718625	chr6L	108718625	
gene410	lyve1.S	chr4S	108714943	
gene411	itfg1.S	chr4S	108715483	XB-GENE-17342280
gene412	tmem39a.L	chr2L	444227	XB-GENE-6255703
gene413	LOC108701879	chr9_10L	108701879	
gene414	arpin.L	chr3L	447578	XB-GENE-6253751
gene415	nif.S	chr3S	446639	XB-GENE-6255668
gene416	otop3.S	chr9_10S	108702807	
gene417	taf9b.S	chr8S	779429	XB-GENE-973358
gene418	dnai2.S	chr9_10S	734562	XB-GENE-866565
gene419	plppr1.S	chr1S	108706927	XB-GENE-17334930
gene420	LOC108710921	chr3L	108710921	
gene421	popdc2.L	chr2L	108707798	XB-GENE-17330940
gene422	ube2b.S	chr3S	443745	XB-GENE-1003715
gene423	vwa5b1.S	chr7S	108697284	XB-GENE-17339690
gene424	rab33a.L	chr8L	444824	XB-GENE-866348
gene425	LOC108695832	chr7L	108695832	
gene426	LOC108715280	chr4S	108715280	
gene427	syngr1.L	chr4L	399119	XB-GENE-866400
gene428	LOC108698216	chr8L	108698216	
gene429	slc16a7.S	chr3S	108713132	
gene430	atg14.L	chr8L	108699170	XB-GENE-6488771
gene431	gtf2b.L	chr4L	394390	XB-GENE-6254425
gene432	ubxn1.S	chr4S	443814	XB-GENE-6251745
gene433	ryr1.L	chr8L	108698642	XB-GENE-17341567
gene434	exosc9.L	chr1L	443865	XB-GENE-992916
gene435	LOC108699482	chr8L	108699482	
gene436	npr1.S	chr8S	397794	XB-GENE-17339407
gene437	LOC108707008	chr1S	108707008	
gene438	LOC733379	chr8S	733379	
gene439	LOC108704438	Scaffold34	108704438	
gene440	fzd3.L	chr5L	399190	XB-GENE-865070
gene441	cox20.L	chr5L	734404	XB-GENE-6256207
gene442	jag2.L	chr8L	108698810	XB-GENE-17346403
gene443	bok.L	chr5L	108717091	XB-GENE-17342628
gene444	slc30a10.L	chr5L	108716462	XB-GENE-6488638
gene445	psmb2.L	chr2L	443966	XB-GENE-946107
gene446	ppp1r3a.S	chr3S	108713113	XB-GENE-6489198
gene447	LOC108704680	chr1S	108704680	
gene448	cab39l.L	chr2L	398903	XB-GENE-953222
gene449	fam129b.S	chr8S	444012	XB-GENE-989695
gene450	LOC398398	chr2L	398398	
gene451	dnajb9.L	chr3L	380486	XB-GENE-6253609
gene452	hand2.L	chr1L	373641	XB-GENE-865126
gene453	c21orf59.S	chr2S	108709226	XB-GENE-17342827
gene454	b4galnt4.L	chr4L	108713824	XB-GENE-17341730
gene455	mphosph10.L	chr3L	398524	XB-GENE-940340
gene456	msra.2.L	chr2L	108708094	XB-GENE-6486255
gene457	rrm2b.S	chr6S	108695407	
gene458	wasf1.S	chr5S	444717	XB-GENE-978150
gene459	exosc10.S	chr7S	108697516	XB-GENE-17335167
gene460	LOC108710381	chr3L	108710381	
gene461	LOC108702284	chr9_10S	108702284	
gene462	ncbp2.L	chr5L	100380998	XB-GENE-1005792
gene463	ccdc138.L	chr2L	734462	XB-GENE-5842326
gene464	prdm15.L	chr2L	108707851	XB-GENE-6485864
gene465	cyp2c37.L	chr6L	100127252	
gene466	jmjd6.L	chr9_10L	444377	XB-GENE-6255376
gene467	znf341.L	chr9_10L	108701085	XB-GENE-17332797
gene468	sept11.S	chr1S	447479	XB-GENE-956050
gene469	prss57.L	chr1L	495174	XB-GENE-6254301
gene470	clstn3.L	chr7L	108696042	XB-GENE-17343668
gene471	MGC75752.L	chr7L	379339	
gene472	42sp43.L	chr9_10L	397745	XB-GENE-6252610
gene473	nid1.L	chr5L	108716745	XB-GENE-6487527
gene474	entpd8.L	chr8L	108698845	XB-GENE-996186
gene475	LOC108715893	chr4S	108715893	
gene476	akap6.L	chr8L	108699238	XB-GENE-17340590
gene477	calr	chr3L	380458	
gene478	phox2b.S	chr1S	495120	XB-GENE-1000419
gene479	btbd6.S	chr8S	108699758	XB-GENE-17343572
gene480	ube2q2.S	chr3S	108713009	XB-GENE-17331964
gene481	LOC108701563	chr9_10L	108701563	
gene482	dopey2.L	chr2L	108707416	XB-GENE-17333291
gene483	LOC108713977	chr1L	108713977	
gene484	usp46.L	chr8L	108698898	XB-GENE-17332213
